StateOrProvince,SUM(Profit)
Illinois,12321.579311999994
Missouri,2123.2119000000002
Tennessee,-1603.4634000000008
Texas,27288.38666
New York,27611.943318600006
Pennsylvania,-1556.182524599999
Oklahoma,2555.98952
Utah,3931.8369799999987
California,36187.568192000006
Mississippi,-529.91495
Iowa,1262.430580000001
Arkansas,-1184.7472
South Dakota,431.1862
Washington,116.21885000000084
Indiana,-976.949505000001
New Jersey,770.9086880000001
Colorado,6965.462660000001
Florida,322.0738399999999
Virginia,-1748.5516999999995
Kansas,2725.77636
New Mexico,4215.91948
Georgia,8645.207413699996
North Carolina,-19337.166839999983
Louisiana,710.12542
Michigan,12307.551891600004
Minnesota,6932.44586
Ohio,23410.842026000006
Maryland,1336.0164599999991
Idaho,6848.3533
Maine,3169.462893000001
New Hampshire,3611.0573999999997
Massachusetts,5293.78398
South Carolina,1695.783237
Wisconsin,3986.4100599999974
Alabama,-2418.0565999999994
Connecticut,-529.1063
Nebraska,4675.60033
Oregon,15291.572600000001
Vermont,530.1497800000002
Kentucky,-1982.645000000001
West Virginia,4771.463824999999
Nevada,3788.8289959999997
District of Columbia,11677.363099999999
Montana,-13759.20549
North Dakota,3012.1560999999997
Arizona,3909.7538320000003
Wyoming,735.225
Rhode Island,5073.001399999999
Delaware,406.7418
